Date,Open,High,Low,Close,Volume
20250214 00:00:00,39265.0,39275.0,39265.0,39275.0,2
20250217 00:00:00,38945.0,38945.0,38945.0,38945.0,0
20250218 00:00:00,38900.0,39200.0,38900.0,39030.0,5
20250219 00:00:00,39015.0,39020.0,38915.0,38915.0,6
20250220 00:00:00,38465.0,38465.0,38465.0,38465.0,0
20250221 00:00:00,38500.0,38540.0,38235.0,38535.0,5
20250224 00:00:00,38570.0,38570.0,38000.0,38100.0,7
20250225 00:00:00,38050.0,38130.0,37855.0,37990.0,19
20250226 00:00:00,37940.0,37965.0,37495.0,37965.0,8
20250227 00:00:00,37945.0,38065.0,37855.0,38045.0,18
20250228 00:00:00,37865.0,37865.0,36720.0,36970.0,33
20250303 00:00:00,37155.0,37600.0,37000.0,37600.0,26
20250304 00:00:00,37505.0,37955.0,36655.0,37110.0,50
20250305 00:00:00,36870.0,37200.0,36060.0,37110.0,19
20250306 00:00:00,37090.0,37500.0,36905.0,37490.0,11
20250307 00:00:00,36755.0,36825.0,36520.0,36520.0,17
20250310 00:00:00,36625.0,36850.0,36355.0,36765.0,32
20250311 00:00:00,36355.0,36505.0,35775.0,36505.0,25
20250312 00:00:00,36505.0,36650.0,36125.0,36530.0,27
20250313 00:00:00,36650.0,37000.0,36495.0,36495.0,23
20250314 00:00:00,36550.0,36865.0,36290.0,36815.0,57
20250317 00:00:00,36925.0,37315.0,36905.0,37175.0,52
20250318 00:00:00,37225.0,37720.0,37200.0,37595.0,37
20250319 00:00:00,37510.0,37820.0,37410.0,37510.0,44
20250320 00:00:00,37340.0,37510.0,37340.0,37440.0,17
20250321 00:00:00,37155.0,37500.0,37150.0,37375.0,14
20250324 00:00:00,37240.0,37500.0,37080.0,37325.0,17
20250325 00:00:00,37420.0,37555.0,37420.0,37555.0,2
20250326 00:00:00,37600.0,37810.0,37550.0,37775.0,15
20250327 00:00:00,37550.0,37550.0,37320.0,37385.0,11
20250328 00:00:00,37020.0,37195.0,36985.0,36985.0,6
20250331 00:00:00,36750.0,36750.0,35575.0,35650.0,61
20250401 00:00:00,35710.0,36015.0,35595.0,35595.0,44
20250402 00:00:00,35630.0,35795.0,35130.0,35750.0,46
20250403 00:00:00,35660.0,35935.0,33930.0,34840.0,62
20250404 00:00:00,34680.0,34680.0,33390.0,33750.0,104
20250407 00:00:00,33485.0,33505.0,30980.0,30980.0,131
20250408 00:00:00,31500.0,33305.0,31245.0,33080.0,43
20250409 00:00:00,32785.0,33945.0,31425.0,31815.0,167
20250410 00:00:00,32235.0,35260.0,31175.0,34720.0,106
20250411 00:00:00,34080.0,34155.0,32630.0,33465.0,1190
20250414 00:00:00,33330.0,34300.0,32690.0,34100.0,845
20250415 00:00:00,34190.0,34450.0,33995.0,34340.0,214
20250416 00:00:00,34455.0,34600.0,33685.0,33900.0,223
20250417 00:00:00,33895.0,34380.0,33630.0,34305.0,465
20250418 00:00:00,34395.0,34795.0,34260.0,34795.0,187
20250421 00:00:00,34745.0,34750.0,34250.0,34270.0,187
20250422 00:00:00,34200.0,34310.0,33850.0,34260.0,157
20250423 00:00:00,34260.0,35365.0,34260.0,34900.0,288
20250424 00:00:00,35035.0,35425.0,34985.0,34985.0,190
20250425 00:00:00,34900.0,35830.0,34770.0,35735.0,481
20250428 00:00:00,35665.0,36060.0,35515.0,35885.0,411
20250429 00:00:00,35825.0,36100.0,35700.0,35885.0,172
20250430 00:00:00,36070.0,36190.0,35795.0,36000.0,118
20250501 00:00:00,36115.0,36545.0,35620.0,36545.0,428
20250502 00:00:00,36530.0,37045.0,36520.0,36750.0,525
20250505 00:00:00,37045.0,37200.0,36660.0,36750.0,160
20250506 00:00:00,37010.0,37290.0,36750.0,36750.0,78
20250507 00:00:00,37000.0,37030.0,36620.0,36805.0,273
20250508 00:00:00,36860.0,37090.0,36570.0,37090.0,422
20250509 00:00:00,37115.0,37650.0,37110.0,37510.0,4087
20250512 00:00:00,37535.0,37800.0,37280.0,37670.0,4747
20250513 00:00:00,38150.0,38755.0,38130.0,38205.0,6423
20250514 00:00:00,38155.0,38470.0,37840.0,38135.0,4078
20250515 00:00:00,38160.0,38165.0,37575.0,37695.0,3502
20250516 00:00:00,37645.0,37815.0,37460.0,37745.0,3071
20250519 00:00:00,37820.0,37960.0,37315.0,37315.0,3860
20250520 00:00:00,37395.0,37910.0,37220.0,37510.0,4865
20250521 00:00:00,37460.0,37680.0,37225.0,37225.0,3136
20250522 00:00:00,37320.0,37335.0,36800.0,36975.0,3527
20250523 00:00:00,36890.0,37355.0,36670.0,37210.0,4068
20250526 00:00:00,37185.0,37575.0,36435.0,37575.0,6103
20250527 00:00:00,37550.0,37795.0,37390.0,37795.0,2550
20250528 00:00:00,37850.0,38350.0,37675.0,37675.0,5152
20250529 00:00:00,37730.0,38430.0,37630.0,38340.0,6298
20250530 00:00:00,38340.0,38370.0,37690.0,37970.0,6651
20250602 00:00:00,37970.0,38015.0,37295.0,37420.0,5837
20250603 00:00:00,37375.0,37805.0,37250.0,37485.0,5772
20250604 00:00:00,37420.0,37840.0,37360.0,37755.0,3902
20250605 00:00:00,37805.0,37835.0,37450.0,37500.0,5588
20250606 00:00:00,37580.0,37765.0,37280.0,37755.0,6141
20250609 00:00:00,37720.0,38150.0,37700.0,38065.0,4968
20250610 00:00:00,38065.0,38465.0,38050.0,38200.0,6542
20250611 00:00:00,38180.0,38495.0,38110.0,38405.0,5206
20250612 00:00:00,38435.0,38720.0,38055.0,38125.0,9448
20250613 00:00:00,38080.0,38265.0,37460.0,37765.0,24914
20250616 00:00:00,37850.0,38350.0,37835.0,38350.0,20970
20250617 00:00:00,38380.0,38590.0,38275.0,38520.0,16289
20250618 00:00:00,38425.0,38875.0,38185.0,38850.0,19932
20250619 00:00:00,38845.0,38935.0,38450.0,38500.0,20330
20250620 00:00:00,38470.0,38680.0,38320.0,38345.0,12935
20250623 00:00:00,38420.0,38580.0,37990.0,38395.0,23009
20250624 00:00:00,38450.0,38960.0,38205.0,38800.0,28485
20250625 00:00:00,38700.0,38925.0,38600.0,38925.0,20607
20250626 00:00:00,38960.0,39565.0,38880.0,39545.0,19767
20250627 00:00:00,39460.0,39570.0,39375.0,39560.0,3972
