Date,Open,High,Low,Close,Volume
20240311 00:00:00,37870.0,37870.0,37870.0,37870.0,0
20240312 00:00:00,37600.0,37840.0,37600.0,37840.0,1
20240313 00:00:00,37700.0,37700.0,37700.0,37700.0,0
20240314 00:00:00,37940.0,37940.0,37940.0,37940.0,0
20240315 00:00:00,37750.0,37750.0,37750.0,37750.0,0
20240318 00:00:00,38870.0,38870.0,38870.0,38870.0,0
20240319 00:00:00,39030.0,39030.0,39030.0,39030.0,0
20240321 00:00:00,40020.0,40020.0,40020.0,40020.0,0
20240322 00:00:00,40160.0,40160.0,40160.0,40160.0,0
20240325 00:00:00,39560.0,39560.0,39560.0,39560.0,0
20240326 00:00:00,39620.0,39680.0,39620.0,39680.0,4
20240327 00:00:00,39920.0,39920.0,39920.0,39920.0,0
20240328 00:00:00,39670.0,39670.0,39670.0,39670.0,0
20240329 00:00:00,39860.0,39860.0,39860.0,39860.0,0
20240401 00:00:00,39340.0,39340.0,39340.0,39340.0,0
20240402 00:00:00,39340.0,39340.0,39340.0,39340.0,0
20240403 00:00:00,38960.0,38960.0,38960.0,38960.0,0
20240404 00:00:00,39250.0,39250.0,39250.0,39250.0,0
20240405 00:00:00,38400.0,38400.0,38400.0,38400.0,0
20240408 00:00:00,38810.0,38810.0,38810.0,38810.0,0
20240409 00:00:00,39210.0,39210.0,39210.0,39210.0,0
20240410 00:00:00,39020.0,39020.0,39020.0,39020.0,0
20240411 00:00:00,38900.0,38900.0,38900.0,38900.0,0
20240412 00:00:00,39050.0,39050.0,39050.0,39050.0,0
20240415 00:00:00,38700.0,38700.0,38700.0,38700.0,0
20240416 00:00:00,38000.0,38000.0,37870.0,37870.0,4
20240417 00:00:00,37600.0,37600.0,37330.0,37330.0,1
20240418 00:00:00,37650.0,37650.0,37650.0,37650.0,0
20240419 00:00:00,36570.0,36570.0,36570.0,36570.0,0
20240422 00:00:00,36890.0,36890.0,36890.0,36890.0,0
20240423 00:00:00,37020.0,37020.0,37020.0,37020.0,0
20240424 00:00:00,37900.0,37900.0,37900.0,37900.0,0
20240425 00:00:00,37070.0,37070.0,37070.0,37070.0,0
20240426 00:00:00,37000.0,37360.0,37000.0,37360.0,1
20240429 00:00:00,37700.0,38030.0,37700.0,37900.0,5
20240430 00:00:00,37920.0,37920.0,37920.0,37920.0,0
20240501 00:00:00,37660.0,37660.0,37660.0,37660.0,0
20240502 00:00:00,37640.0,37640.0,37640.0,37640.0,0
20240507 00:00:00,38050.0,38320.0,38050.0,38320.0,2
20240508 00:00:00,37770.0,37770.0,37650.0,37650.0,1
20240509 00:00:00,37490.0,37490.0,37490.0,37490.0,0
20240510 00:00:00,37690.0,37690.0,37690.0,37690.0,0
20240513 00:00:00,37570.0,37570.0,37570.0,37570.0,0
20240514 00:00:00,37760.0,37760.0,37760.0,37760.0,0
20240515 00:00:00,37850.0,37850.0,37850.0,37850.0,0
20240516 00:00:00,38350.0,38350.0,38350.0,38350.0,0
20240517 00:00:00,38220.0,38220.0,38220.0,38220.0,0
20240520 00:00:00,38560.0,38560.0,38560.0,38560.0,0
20240521 00:00:00,38430.0,38430.0,38430.0,38430.0,0
20240522 00:00:00,38110.0,38110.0,38110.0,38110.0,0
20240523 00:00:00,38600.0,38600.0,38600.0,38600.0,0
20240524 00:00:00,38100.0,38100.0,38100.0,38100.0,0
20240527 00:00:00,38430.0,38430.0,38430.0,38430.0,0
20240528 00:00:00,38350.0,38350.0,38350.0,38350.0,0
20240529 00:00:00,38000.0,38000.0,38000.0,38000.0,0
20240530 00:00:00,37520.0,37520.0,37520.0,37520.0,0
20240531 00:00:00,38020.0,38020.0,38020.0,38020.0,0
20240603 00:00:00,38480.0,38480.0,38480.0,38480.0,0
20240604 00:00:00,38290.0,38290.0,38290.0,38290.0,0
20240605 00:00:00,38040.0,38040.0,38040.0,38040.0,0
20240606 00:00:00,38270.0,38270.0,38270.0,38270.0,0
20240607 00:00:00,38160.0,38160.0,38160.0,38160.0,0
20240610 00:00:00,38520.0,38520.0,38520.0,38520.0,0
20240611 00:00:00,38520.0,38710.0,38520.0,38710.0,2
20240612 00:00:00,38480.0,38480.0,38480.0,38480.0,0
20240613 00:00:00,38510.0,38510.0,38260.0,38260.0,1
20240614 00:00:00,38270.0,38380.0,38150.0,38380.0,4
20240617 00:00:00,37540.0,37540.0,37540.0,37540.0,0
20240618 00:00:00,37940.0,37940.0,37940.0,37940.0,0
20240619 00:00:00,38130.0,38130.0,38030.0,38030.0,2
20240620 00:00:00,38140.0,38140.0,38140.0,38140.0,0
20240621 00:00:00,38140.0,38140.0,38140.0,38140.0,0
20240624 00:00:00,38300.0,38300.0,38290.0,38290.0,1
20240625 00:00:00,38610.0,38700.0,38610.0,38700.0,1
20240626 00:00:00,39170.0,39170.0,39170.0,39170.0,0
20240627 00:00:00,38950.0,38970.0,38930.0,38970.0,2
20240628 00:00:00,39080.0,39140.0,39080.0,39140.0,1
20240701 00:00:00,39240.0,39240.0,39220.0,39220.0,2
20240702 00:00:00,39490.0,39660.0,39370.0,39660.0,3
20240703 00:00:00,40150.0,40150.0,40150.0,40150.0,0
20240704 00:00:00,40250.0,40440.0,40250.0,40440.0,1
20240705 00:00:00,40410.0,40410.0,40410.0,40410.0,0
20240708 00:00:00,40400.0,40400.0,40400.0,40400.0,0
20240709 00:00:00,41170.0,41170.0,41170.0,41170.0,0
20240710 00:00:00,41520.0,41520.0,41520.0,41520.0,0
20240711 00:00:00,41950.0,41950.0,41950.0,41950.0,0
20240712 00:00:00,40730.0,40730.0,40730.0,40730.0,0
20240716 00:00:00,40800.0,40800.0,40800.0,40800.0,0
20240717 00:00:00,41000.0,41000.0,40630.0,40630.0,1
20240718 00:00:00,39800.0,39800.0,39800.0,39800.0,0
20240719 00:00:00,39500.0,39590.0,39500.0,39590.0,1
20240722 00:00:00,39030.0,39030.0,39030.0,39030.0,0
20240723 00:00:00,39090.0,39090.0,39090.0,39090.0,0
20240724 00:00:00,38680.0,38680.0,38680.0,38680.0,0
20240725 00:00:00,38270.0,38270.0,37300.0,37300.0,4
