Date,Open,High,Low,Close,Volume
20240311 21:00:00,37600.0,37600.0,37600.0,37600.0,1
20240312 01:00:00,37600.0,37600.0,37600.0,37600.0,0
20240312 05:00:00,37600.0,37600.0,37600.0,37600.0,0
20240312 08:45:00,37600.0,37600.0,37600.0,37600.0,0
20240312 09:00:00,37600.0,37600.0,37600.0,37600.0,0
20240312 13:00:00,37600.0,37600.0,37600.0,37600.0,0
20240325 16:30:00,39620.0,39620.0,39620.0,39620.0,2
20240325 17:00:00,39620.0,39620.0,39620.0,39620.0,1
20240325 21:00:00,39620.0,39620.0,39620.0,39620.0,0
20240326 01:00:00,39620.0,39620.0,39620.0,39620.0,0
20240326 05:00:00,39620.0,39620.0,39620.0,39620.0,0
20240326 08:45:00,39620.0,39620.0,39620.0,39620.0,0
20240326 09:00:00,39620.0,39620.0,39620.0,39620.0,1
20240326 13:00:00,39620.0,39620.0,39620.0,39620.0,0
20240416 09:00:00,38000.0,38000.0,38000.0,38000.0,4
20240416 13:00:00,38000.0,38000.0,38000.0,38000.0,0
20240417 13:00:00,37600.0,37600.0,37600.0,37600.0,1
20240426 01:00:00,37000.0,37000.0,37000.0,37000.0,1
20240426 05:00:00,37000.0,37000.0,37000.0,37000.0,0
20240426 08:45:00,37000.0,37000.0,37000.0,37000.0,0
20240426 09:00:00,37000.0,37000.0,37000.0,37000.0,0
20240426 13:00:00,37000.0,37000.0,37000.0,37000.0,0
20240427 01:00:00,37700.0,37700.0,37700.0,37700.0,1
20240427 05:00:00,37700.0,37700.0,37700.0,37700.0,0
20240429 08:45:00,37720.0,37720.0,37720.0,37720.0,1
20240429 09:00:00,37720.0,37720.0,37720.0,37720.0,0
20240429 13:00:00,38030.0,38030.0,37900.0,37900.0,3
20240506 17:00:00,38050.0,38050.0,38050.0,38050.0,2
20240506 21:00:00,38050.0,38050.0,38050.0,38050.0,0
20240507 01:00:00,38050.0,38050.0,38050.0,38050.0,0
20240507 05:00:00,38050.0,38050.0,38050.0,38050.0,0
20240507 08:45:00,38050.0,38050.0,38050.0,38050.0,0
20240507 09:00:00,38050.0,38050.0,38050.0,38050.0,0
20240507 13:00:00,38050.0,38050.0,38050.0,38050.0,0
20240508 09:00:00,37770.0,37770.0,37770.0,37770.0,1
20240508 13:00:00,37770.0,37770.0,37770.0,37770.0,0
20240612 21:00:00,38510.0,38510.0,38510.0,38510.0,1
20240613 01:00:00,38510.0,38510.0,38510.0,38510.0,0
20240613 05:00:00,38510.0,38510.0,38510.0,38510.0,0
20240613 08:45:00,38510.0,38510.0,38510.0,38510.0,0
20240613 09:00:00,38510.0,38510.0,38510.0,38510.0,0
20240613 13:00:00,38510.0,38510.0,38510.0,38510.0,0
20240613 17:00:00,38270.0,38270.0,38270.0,38270.0,1
20240613 21:00:00,38270.0,38270.0,38270.0,38270.0,0
20240614 01:00:00,38270.0,38270.0,38270.0,38270.0,0
20240614 05:00:00,38270.0,38270.0,38270.0,38270.0,0
20240614 08:45:00,38190.0,38190.0,38150.0,38150.0,3
20240614 09:00:00,38150.0,38150.0,38150.0,38150.0,0
20240614 13:00:00,38150.0,38150.0,38150.0,38150.0,0
20240619 09:00:00,38130.0,38130.0,38130.0,38130.0,2
20240619 13:00:00,38130.0,38130.0,38130.0,38130.0,0
20240624 13:00:00,38300.0,38300.0,38300.0,38300.0,1
20240625 13:00:00,38610.0,38610.0,38610.0,38610.0,1
20240626 21:00:00,38950.0,38950.0,38950.0,38950.0,1
20240627 01:00:00,38950.0,38950.0,38950.0,38950.0,0
20240627 05:00:00,38950.0,38950.0,38950.0,38950.0,0
20240627 08:45:00,38950.0,38950.0,38950.0,38950.0,0
20240627 09:00:00,38930.0,38930.0,38930.0,38930.0,1
20240627 13:00:00,38930.0,38930.0,38930.0,38930.0,0
20240628 01:00:00,39080.0,39080.0,39080.0,39080.0,1
20240628 05:00:00,39080.0,39080.0,39080.0,39080.0,0
20240628 08:45:00,39080.0,39080.0,39080.0,39080.0,0
20240628 09:00:00,39080.0,39080.0,39080.0,39080.0,0
20240628 13:00:00,39080.0,39080.0,39080.0,39080.0,0
20240701 09:00:00,39240.0,39240.0,39230.0,39230.0,2
20240701 13:00:00,39230.0,39230.0,39230.0,39230.0,0
20240702 09:00:00,39490.0,39490.0,39490.0,39490.0,1
20240702 13:00:00,39420.0,39420.0,39370.0,39370.0,2
20240704 05:00:00,40250.0,40250.0,40250.0,40250.0,1
20240704 08:45:00,40250.0,40250.0,40250.0,40250.0,0
20240704 09:00:00,40250.0,40250.0,40250.0,40250.0,0
20240704 13:00:00,40250.0,40250.0,40250.0,40250.0,0
20240717 01:00:00,41000.0,41000.0,41000.0,41000.0,1
20240717 05:00:00,41000.0,41000.0,41000.0,41000.0,0
20240717 08:45:00,41000.0,41000.0,41000.0,41000.0,0
20240717 09:00:00,41000.0,41000.0,41000.0,41000.0,0
20240717 13:00:00,41000.0,41000.0,41000.0,41000.0,0
20240718 21:00:00,39500.0,39500.0,39500.0,39500.0,1
20240719 01:00:00,39500.0,39500.0,39500.0,39500.0,0
20240719 05:00:00,39500.0,39500.0,39500.0,39500.0,0
20240719 08:45:00,39500.0,39500.0,39500.0,39500.0,0
20240719 09:00:00,39500.0,39500.0,39500.0,39500.0,0
20240719 13:00:00,39500.0,39500.0,39500.0,39500.0,0
20240724 21:00:00,38270.0,38270.0,38270.0,38270.0,2
20240725 01:00:00,37800.0,37800.0,37800.0,37800.0,2
20240725 05:00:00,37800.0,37800.0,37800.0,37800.0,0
20240725 08:45:00,37800.0,37800.0,37800.0,37800.0,0
20240725 09:00:00,37800.0,37800.0,37800.0,37800.0,0
20240725 13:00:00,37800.0,37800.0,37800.0,37800.0,0
20240726 09:00:00,37450.0,37450.0,37450.0,37450.0,2
20240726 13:00:00,37450.0,37450.0,37450.0,37450.0,0
20240726 17:00:00,37460.0,37620.0,37460.0,37620.0,6
20240726 21:00:00,37620.0,37620.0,37620.0,37620.0,0
20240727 01:00:00,37620.0,37620.0,37620.0,37620.0,0
20240727 05:00:00,37620.0,37620.0,37620.0,37620.0,0
20240729 09:00:00,38050.0,38050.0,38050.0,38050.0,5
20240729 13:00:00,38050.0,38050.0,38050.0,38050.0,0
20240730 21:00:00,38160.0,38160.0,38160.0,38160.0,4
20240731 01:00:00,38160.0,38160.0,38160.0,38160.0,0
20240731 05:00:00,38160.0,38160.0,38160.0,38160.0,0
20240731 08:45:00,38160.0,38160.0,38160.0,38160.0,0
20240731 09:00:00,38160.0,38160.0,38160.0,38160.0,0
20240731 13:00:00,38160.0,38160.0,38160.0,38160.0,0
20240801 21:00:00,36980.0,36980.0,36980.0,36980.0,2
20240802 01:00:00,36550.0,36550.0,36210.0,36210.0,3
20240802 05:00:00,36210.0,36210.0,36210.0,36210.0,0
20240802 08:45:00,36210.0,36210.0,36210.0,36210.0,0
20240802 09:00:00,36210.0,36210.0,36210.0,36210.0,0
20240802 13:00:00,36210.0,36210.0,36210.0,36210.0,0
20240802 17:00:00,35120.0,35120.0,35120.0,35120.0,4
20240802 21:00:00,35030.0,35030.0,35020.0,35020.0,2
20240803 01:00:00,35020.0,35020.0,35020.0,35020.0,0
20240803 05:00:00,35020.0,35020.0,35020.0,35020.0,0
20240805 13:00:00,32940.0,32940.0,30850.0,30850.0,3
20240805 21:00:00,31100.0,31430.0,31100.0,31430.0,5
20240806 01:00:00,31430.0,31430.0,31430.0,31430.0,0
20240806 05:00:00,31430.0,31430.0,31430.0,31430.0,0
20240806 08:45:00,31430.0,31430.0,31430.0,31430.0,0
20240806 09:00:00,33780.0,33910.0,33780.0,33910.0,5
20240806 13:00:00,33910.0,33910.0,33910.0,33910.0,0
20240807 09:00:00,35040.0,35040.0,35040.0,35040.0,2
20240807 13:00:00,35040.0,35040.0,35040.0,35040.0,0
20240807 21:00:00,34870.0,34870.0,34870.0,34870.0,1
20240808 01:00:00,34870.0,34870.0,34870.0,34870.0,0
20240808 05:00:00,34870.0,34870.0,34870.0,34870.0,0
20240808 08:45:00,34870.0,34870.0,34870.0,34870.0,0
20240808 09:00:00,34620.0,34620.0,34620.0,34620.0,1
20240808 13:00:00,34620.0,34620.0,34620.0,34620.0,0
20240808 21:00:00,34760.0,34760.0,34760.0,34760.0,2
20240809 01:00:00,34760.0,34760.0,34760.0,34760.0,0
20240809 05:00:00,34760.0,34760.0,34760.0,34760.0,0
20240809 08:45:00,34760.0,34760.0,34760.0,34760.0,0
20240809 09:00:00,34980.0,34980.0,34980.0,34980.0,1
20240809 13:00:00,34980.0,34980.0,34980.0,34980.0,0
20240815 09:00:00,35900.0,35900.0,35900.0,35900.0,1
20240815 13:00:00,35900.0,35900.0,35900.0,35900.0,0
20240816 09:00:00,37240.0,37240.0,37240.0,37240.0,1
20240816 13:00:00,37240.0,37240.0,37240.0,37240.0,0
20240822 21:00:00,38000.0,38000.0,38000.0,38000.0,1
20240823 01:00:00,38000.0,38000.0,38000.0,38000.0,0
20240823 05:00:00,38000.0,38000.0,38000.0,38000.0,0
20240823 08:45:00,38000.0,38000.0,38000.0,38000.0,0
20240823 09:00:00,38000.0,38000.0,38000.0,38000.0,0
20240823 13:00:00,38000.0,38000.0,38000.0,38000.0,0
20240906 21:00:00,35370.0,35370.0,35370.0,35370.0,1
20240907 01:00:00,35370.0,35370.0,35370.0,35370.0,0
20240907 05:00:00,35370.0,35370.0,35370.0,35370.0,0
20240909 08:45:00,35370.0,35370.0,35370.0,35370.0,0
20240909 09:00:00,35370.0,35370.0,35370.0,35370.0,0
20240909 13:00:00,35370.0,35370.0,35370.0,35370.0,0
20240919 08:45:00,36520.0,36520.0,36520.0,36520.0,1
20240919 09:00:00,36520.0,36520.0,36520.0,36520.0,0
20240919 13:00:00,36520.0,36520.0,36520.0,36520.0,0
20240924 09:00:00,37480.0,37480.0,37480.0,37480.0,1
20240924 13:00:00,37480.0,37480.0,37480.0,37480.0,0
20240924 17:00:00,37850.0,37850.0,37850.0,37850.0,1
20240924 21:00:00,37850.0,37850.0,37850.0,37850.0,0
20240925 01:00:00,37850.0,37850.0,37850.0,37850.0,0
20240925 05:00:00,37850.0,37850.0,37850.0,37850.0,0
20240925 13:00:00,37850.0,37850.0,37850.0,37850.0,0
20241007 21:00:00,38800.0,38820.0,38800.0,38820.0,2
20241008 01:00:00,38820.0,38820.0,38820.0,38820.0,0
